Date,Open,High,Low,Close,Adj Close,Volume
1981-03-10,0.404018,0.404018,0.401786,0.401786,0.317491,7095200
1981-03-11,0.390625,0.390625,0.386161,0.386161,0.305144,7464800
1981-03-12,0.401786,0.404018,0.401786,0.401786,0.317491,14812000
1981-03-13,0.399554,0.399554,0.397321,0.397321,0.313964,57825600
1981-03-16,0.412946,0.417411,0.412946,0.412946,0.326311,9307200
1981-03-17,0.433036,0.437500,0.433036,0.433036,0.342185,10936800
1981-03-18,0.459821,0.464286,0.459821,0.459821,0.363351,9234400
1981-03-19,0.457589,0.457589,0.455357,0.455357,0.359824,9452800
1981-03-20,0.459821,0.464286,0.459821,0.459821,0.363351,3651200
1981-03-23,0.477679,0.482143,0.477679,0.477679,0.377462,5504800
1981-03-24,0.477679,0.477679,0.475446,0.475446,0.375698,7039200
1981-03-25,0.470982,0.470982,0.466518,0.466518,0.368643,1764000
1981-03-26,0.459821,0.459821,0.457589,0.457589,0.361587,3068800
1981-03-27,0.444196,0.444196,0.441964,0.441964,0.349240,3063200
1981-03-30,0.441964,0.446429,0.441964,0.441964,0.349240,2475200
1981-03-31,0.441964,0.441964,0.437500,0.437500,0.345713,3998400
1981-04-01,0.435268,0.435268,0.433036,0.433036,0.342185,8517600
1981-04-02,0.470982,0.473214,0.470982,0.470982,0.372170,7851200
1981-04-03,0.473214,0.475446,0.473214,0.473214,0.373934,4121600
1981-04-06,0.466518,0.466518,0.464286,0.464286,0.366879,5700800
1981-04-07,0.462054,0.462054,0.459821,0.459821,0.363351,2671200
1981-04-08,0.482143,0.486607,0.482143,0.482143,0.380990,5488000
1981-04-09,0.491071,0.493304,0.491071,0.491071,0.388045,3124800
1981-04-10,0.497768,0.500000,0.497768,0.497768,0.393336,8366400
1981-04-13,0.497768,0.500000,0.497768,0.497768,0.393336,4015200
1981-04-14,0.497768,0.500000,0.497768,0.497768,0.393336,1663200
1981-04-15,0.475446,0.475446,0.473214,0.473214,0.373934,8512000
1981-04-16,0.448661,0.448661,0.446429,0.446429,0.352768,5969600
1981-04-20,0.459821,0.462054,0.459821,0.459821,0.363351,8836800
1981-04-21,0.491071,0.493304,0.491071,0.491071,0.388045,7134400
1981-04-22,0.508929,0.511161,0.508929,0.508929,0.402156,4748800
1981-04-23,0.522321,0.524554,0.522321,0.522321,0.412739,14504000
1981-04-24,0.522321,0.522321,0.517857,0.517857,0.409211,8764000
1981-04-27,0.515625,0.515625,0.513393,0.513393,0.405683,9632000
1981-04-28,0.506696,0.506696,0.504464,0.504464,0.398628,8047200
1981-04-29,0.500000,0.500000,0.497768,0.497768,0.393336,3410400
1981-04-30,0.506696,0.511161,0.506696,0.506696,0.400392,3152800
1981-05-01,0.506696,0.511161,0.506696,0.506696,0.400392,4138400
1981-05-04,0.506696,0.506696,0.504464,0.504464,0.398628,3612000
1981-05-05,0.504464,0.504464,0.502232,0.502232,0.396864,4384800
1981-05-06,0.491071,0.491071,0.488839,0.488839,0.386281,4737600
1981-05-07,0.495536,0.497768,0.495536,0.495536,0.391573,2340800
1981-05-08,0.500000,0.502232,0.500000,0.500000,0.395100,1976800
1981-05-11,0.491071,0.491071,0.488839,0.488839,0.386281,2984800
1981-05-12,0.488839,0.495536,0.488839,0.488839,0.386281,1064000
1981-05-13,0.488839,0.493304,0.486607,0.486607,0.384517,1226400
1981-05-14,0.484375,0.484375,0.479911,0.479911,0.379226,1232000
1981-05-15,0.491071,0.497768,0.491071,0.491071,0.388045,1226400
1981-05-18,0.500000,0.504464,0.500000,0.500000,0.395100,1041600
1981-05-19,0.493304,0.493304,0.491071,0.491071,0.388045,6356000
1981-05-20,0.506696,0.511161,0.506696,0.506696,0.400392,3320800
1981-05-21,0.535714,0.537946,0.535714,0.535714,0.423322,8052800
1981-05-22,0.560268,0.564732,0.560268,0.560268,0.442724,7856800
1981-05-26,0.560268,0.560268,0.558036,0.558036,0.440960,21336000
1981-05-27,0.589286,0.591518,0.589286,0.589286,0.465654,37374400
1981-05-28,0.589286,0.591518,0.589286,0.589286,0.465654,18496800
1981-05-29,0.591518,0.593750,0.591518,0.591518,0.467418,14845600
1981-06-01,0.591518,0.593750,0.591518,0.591518,0.467418,12812800
1981-06-02,0.564732,0.564732,0.562500,0.562500,0.444488,10108000
1981-06-03,0.562500,0.566964,0.562500,0.562500,0.444488,9861600
1981-06-04,0.573661,0.575893,0.573661,0.573661,0.453307,14016800
1981-06-05,0.566964,0.566964,0.564732,0.564732,0.446252,14420000
1981-06-08,0.546875,0.546875,0.544643,0.544643,0.430377,23374400
1981-06-09,0.555804,0.558036,0.555804,0.555804,0.439196,29898400
1981-06-10,0.562500,0.569196,0.562500,0.562500,0.444488,6305600
1981-06-11,0.587054,0.589286,0.587054,0.587054,0.463890,9744000
1981-06-12,0.582589,0.582589,0.580357,0.580357,0.458599,6451200
1981-06-15,0.580357,0.580357,0.578125,0.578125,0.456835,35940800
1981-06-16,0.569196,0.569196,0.566964,0.566964,0.448015,9312800
1981-06-17,0.560268,0.560268,0.558036,0.558036,0.440960,6893600
1981-06-18,0.558036,0.560268,0.555804,0.555804,0.439196,5762400
1981-06-19,0.542411,0.542411,0.540179,0.540179,0.426849,6876800
1981-06-22,0.522321,0.522321,0.520089,0.520089,0.410975,2710400
1981-06-23,0.529018,0.533482,0.529018,0.529018,0.418030,3757600
1981-06-24,0.520089,0.520089,0.515625,0.515625,0.407447,5756800
,0.526786,0.416266,6064800
,0.520089,0.410975,5947200
,0.502232,0.396864,2648800
,0.464286,0.366879,8976800
1981-07-01,0.462054,0.462054,0.459821,0.459821,0.363351,42616000
1981-07-02,0.459821,0.462054,0.459821,0.459821,0.363351,7571200
1981-07-06,0.448661,0.448661,0.444196,0.444196,0.351004,4132800
1981-07-07,0.448661,0.453125,0.448661,0.448661,0.354532,3959200
1981-07-08,0.466518,0.468750,0.466518,0.466518,0.368643,4155200
1981-07-09,0.433036,0.433036,0.430804,0.430804,0.340421,8220800
1981-07-10,0.399554,0.399554,0.397321,0.397321,0.313964,13792800
1981-07-13,0.406250,0.408482,0.406250,0.406250,0.321019,11435200
1981-07-14,0.424107,0.428571,0.424107,0.424107,0.335130,4944800
1981-07-15,0.435268,0.437500,0.435268,0.435268,0.343949,2738400
1981-07-16,0.446429,0.450893,0.446429,0.446429,0.352768,3808000
1981-07-17,0.462054,0.464286,0.462054,0.462054,0.365115,4956000
1981-07-20,0.433036,0.433036,0.430804,0.430804,0.340421,5913600
1981-07-21,0.430804,0.430804,0.428571,0.428571,0.338657,7985600
1981-07-22,0.408482,0.408482,0.404018,0.404018,0.319255,5667200
1981-07-23,0.415179,0.417411,0.415179,0.415179,0.328074,8612800
1981-07-24,0.428571,0.430804,0.428571,0.428571,0.338657,7212800
1981-07-27,0.446429,0.448661,0.446429,0.446429,0.352768,4334400
1981-07-28,0.433036,0.433036,0.430804,0.430804,0.340421,5712000
1981-07-29,0.426339,0.426339,0.424107,0.424107,0.335130,3875200
1981-07-30,0.439732,0.444196,0.439732,0.439732,0.347477,2475200
1981-07-31,0.446429,0.448661,0.446429,0.446429,0.352768,2738400
1981-08-03,0.446429,0.446429,0.441964,0.441964,0.349240,3108000
1981-08-04,0.448661,0.450893,0.448661,0.448661,0.354532,7918400
1981-08-05,0.462054,0.464286,0.462054,0.462054,0.365115,4373600
1981-08-06,0.453125,0.453125,0.450893,0.450893,0.356296,2632000
1981-08-07,0.450893,0.453125,0.450893,0.450893,0.356296,2301600
1981-08-10,null,null,null,null,null,null
1981-08-11,0.441964,0.441964,0.437500,0.437500,0.345713,17864000
1981-08-12,0.430804,0.430804,0.428571,0.428571,0.338657,6568800
1981-08-13,0.417411,0.417411,0.415179,0.415179,0.328074,6871200
1981-08-14,0.412946,0.412946,0.408482,0.408482,0.322783,6048000
1981-08-17,0.399554,0.399554,0.395089,0.395089,0.312200,4726400
1981-08-18,0.390625,0.390625,0.386161,0.386161,0.305144,4250400
1981-08-19,0.386161,0.386161,0.381696,0.381696,0.301617,5168800
1981-08-20,0.386161,0.388393,0.386161,0.386161,0.305144,4278400
1981-08-21,0.363839,0.363839,0.359375,0.359375,0.283978,10477600
1981-08-24,0.339286,0.339286,0.337054,0.337054,0.266340,5768000
1981-08-25,0.345982,0.348214,0.345982,0.345982,0.273395,10175200
1981-08-26,0.341518,0.341518,0.339286,
1981-08-28,0.359375,0.361607,0.359375,0.359375,0.283978,9508800
0.359375,0.283978,10236800
1981-09-01,0.381696,0.383929,0.381696,0.381696,0.301617,9256800
